metric,,,curvature,curvature,curvature,second_order_coeff_x,second_order_coeff_x,second_order_coeff_x,second_order_coeff_y,second_order_coeff_y,second_order_coeff_y,second_order_coeff_z,second_order_coeff_z,second_order_coeff_z
summary,,,median,low,high,median,low,high,median,low,high,median,low,high
fish,date,condition,,,,,,,,,,,,
Fred,2020-09-23,floor,8.518469066826192,5.532540341495312,13.886612135889301,-0.0002276114888371688,-0.00047113221076730365,9.424791713046025e-05,0.00015812806324009716,-0.00010939329682051267,0.00036907653512935503,-0.00015049320377033613,-0.000522224462093432,0.00014536775716219593
Fred,2020-09-23,well,,,,,,,,,,,,
Fred,2020-09-25,floor,8.60670143728965,4.782351598804874,15.75503942645396,-0.00015213549948878534,-0.00034139204069223185,8.808447397966956e-05,4.402122610717294e-05,-0.0001935078348638772,0.00023806570791058544,-4.686214096430762e-05,-0.0003184801553363989,0.00016952030790277274
Fred,2020-09-25,well,,,,,,,,,,,,
Fred,2020-09-27,floor,9.808012373225335,5.36689171903316,18.80709101542481,-0.00018077360197189243,-0.00041097107236103475,0.0001542498296629482,7.493321923210016e-05,-0.0001645430551087106,0.0003013341387914157,1.6639814971666281e-07,-0.00024191270477724852,0.00018539500577900074
Fred,2020-09-27,well,,,,,,,,,,,,
Fred,2020-09-29,floor,11.111780836532482,5.758464760315212,22.46358391262877,-0.00014255625611267995,-0.0003612337325875327,0.0002665069004291979,-1.0591749530502327e-05,-0.00024541222417805305,0.0002447631597764467,-7.121924024310293e-05,-0.00038640884950254923,0.00015765436352573105
Fred,2020-09-29,well,,,,,,,,,,,,
Fred,2020-10-01,floor,7.40324972524609,3.7633363833611235,16.290806007652694,-1.6507238066234416e-05,-0.0004221959225893426,0.0002284185186057249,0.00012162880739705157,-9.452607823772534e-05,0.0003189024417352506,-0.0001367444558706226,-0.0004897847087586449,0.00011943910869723567
Fred,2020-10-01,well,,,,,,,,,,,,
Greg,2020-11-04,floor,13.613644969517832,6.154673869082908,28.95099228403511,-5.875951699170916e-05,-0.00036378987920061926,0.00014524209006392484,-5.9727100705888445e-05,-0.0003738757279457268,0.00019390398474891947,-3.588905554682192e-06,-0.00027312575894353295,0.00022999668615713596
Greg,2020-11-04,well,11.289269200048873,6.043412525697792,21.149545396396608,-8.214848722118309e-05,-0.00035074502451688783,0.000117830091601648,-6.957800131727066e-05,-0.0002869593338491618,0.00018018110740729366,-3.9521610362631154e-05,-0.00034245656828315864,0.0001581903147775874
Greg,2020-11-06,floor,11.122135543775574,5.940288895732507,21.136737045784347,-6.48389081185568e-05,-0.0003022026413578444,0.00022946795679637647,2.0395895672864185e-05,-0.0001777084336200304,0.00022038273403291532,8.541737423540895e-06,-0.0002809632766779382,0.00016291934024595045
Greg,2020-11-06,well,12.142605939664032,6.879300314679258,21.92249422287833,-8.789751349177418e-05,-0.0003367985630928582,0.00010839439604121,-7.308092332428545e-05,-0.00030638711056866385,0.0001743956362418173,-8.402962227490555e-05,-0.0003856469865378873,0.0001353332239251888
Greg,2020-11-08,floor,11.514228790219695,5.742688868090635,21.886593485692956,-0.00012892451882754398,-0.00032746442767378036,0.0001224920641182552,-8.823789177179839e-05,-0.0002630552447106261,0.00016405917469924344,7.319327915198005e-06,-0.00019070564840502327,0.00019718783750463138
Greg,2020-11-08,well,10.343449454251077,5.7986694539522565,17.498361150995414,-0.0002037277159433106,-0.00038329917933934495,4.9919663658655755e-05,-8.786074783590918e-05,-0.0002625836930217518,8.248164970682897e-05,4.724589415313658e-05,-0.00019413299066006583,0.00019831911448204564
